===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		1000c D  10015 D  
Set 	1:		10015 D  1000c D  
Set 	2:		1000c D  10015 D  
Set 	3:		1000c D  10015 D  
Set 	4:		10015 D  1000c D  
Set 	5:		10015 D  1000c D  
Set 	6:		10015 D  1000c D  
Set 	7:		1000c D  10015 D  
Set 	8:		1000c D  10015 D  
Set 	9:		1000c D  10015 D  
Set 	10:		10015 D  1000c D  
Set 	11:		10015 D  1000c D  
Set 	12:		10015 D  1000c D  
Set 	13:		1000c D  10015 D  
Set 	14:		10015 D  1000c D  
Set 	15:		10015 D  1000c D  
Set 	16:		10015 D  1000c D  
Set 	17:		10015 D  1000e D  
Set 	18:		10012    1000e D  
Set 	19:		1000e D  10015 D  
Set 	20:		1000c D  10015 D  
Set 	21:		10015 D  1000e D  
Set 	22:		1000c D  10015 D  
Set 	23:		1000c D  10015 D  
Set 	24:		10015 D  1000c D  
Set 	25:		10015 D  1000c D  
Set 	26:		10015 D  1000c D  
Set 	27:		10015 D  1000c D  
Set 	28:		10015 D  1000c D  
Set 	29:		1000c D  10015 D  
Set 	30:		1000e    10015 D  
Set 	31:		1000c D  10015 D  
Set 	32:		10015 D  1000c D  
Set 	33:		10015 D  1000c D  
Set 	34:		10015 D  1000c D  
Set 	35:		10015 D  1000c D  
Set 	36:		1000c D  10015 D  
Set 	37:		10015 D  1000c D  
Set 	38:		1000c D  10015 D  
Set 	39:		1000c D  10015 D  
Set 	40:		10015 D  1000c D  
Set 	41:		10015 D  1000c D  
Set 	42:		10015 D  1000c D  
Set 	43:		1000c D  10015 D  
Set 	44:		1000c D  10015 D  
Set 	45:		10011 D  10015 D  
Set 	46:		10015 D  1000c D  
Set 	47:		10011 D  10015 D  
Set 	48:		10011 D  10015 D  
Set 	49:		10015 D  1000c D  
Set 	50:		10015 D  10011 D  
Set 	51:		10015 D  1000c D  
Set 	52:		1000c D  10015 D  
Set 	53:		10015 D  1000c D  
Set 	54:		10011 D  10015 D  
Set 	55:		1000c D  10015 D  
Set 	56:		1000c D  10015 D  
Set 	57:		10015 D  1000c D  
Set 	58:		10015 D  1000c D  
Set 	59:		10015 D  1000c D  
Set 	60:		10015 D  1000c D  
Set 	61:		1000c D  10015 D  
Set 	62:		1000c D  10015 D  
Set 	63:		1000c D  10015 D  
Set 	64:		1000c D  10015 D  
Set 	65:		10015 D  1000c D  
Set 	66:		10015 D  1000c D  
Set 	67:		10015 D  1000c D  
Set 	68:		1000c D  10015 D  
Set 	69:		10015 D  1000c D  
Set 	70:		1000f D  10015 D  
Set 	71:		1000c D  10015 D  
Set 	72:		10015 D  1000c D  
Set 	73:		10015 D  1000c D  
Set 	74:		1000c D  10015 D  
Set 	75:		1000c D  10015 D  
Set 	76:		1000c D  10015 D  
Set 	77:		1000c D  10015 D  
