===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		8006 D  800a D  
Set 	1:		800a D  8006 D  
Set 	2:		8006 D  800a D  
Set 	3:		8006 D  800a D  
Set 	4:		800a D  8006 D  
Set 	5:		800a D  8006 D  
Set 	6:		800a D  8006 D  
Set 	7:		800a D  8006 D  
Set 	8:		800a D  8006 D  
Set 	9:		8006 D  800a D  
Set 	10:		800a D  8006 D  
Set 	11:		800a D  8006 D  
Set 	12:		800a D  8006 D  
Set 	13:		800a D  8006 D  
Set 	14:		800a D  8006 D  
Set 	15:		800a D  8006 D  
Set 	16:		800a D  8006 D  
Set 	17:		8007 D  8006 D  
Set 	18:		8007 D  8009    
Set 	19:		8007 D  8006 D  
Set 	20:		8006 D  8007    
Set 	21:		8006 D  8007 D  
Set 	22:		8006 D  800a D  
Set 	23:		8006 D  800a D  
Set 	24:		800a D  8006 D  
Set 	25:		8006 D  800a D  
Set 	26:		800a D  8006 D  
Set 	27:		800a D  8006 D  
Set 	28:		8006 D  800a D  
Set 	29:		8006 D  800a D  
Set 	30:		8007    8006 D  
Set 	31:		8009 D  8006 D  
Set 	32:		8006 D  800a D  
Set 	33:		8009    8006 D  
Set 	34:		8006 D  800a D  
Set 	35:		8006 D  800a D  
Set 	36:		8006 D  800a D  
Set 	37:		8006 D  800a D  
Set 	38:		8006 D  800a D  
Set 	39:		8006 D  800a D  
Set 	40:		8006 D  800a D  
Set 	41:		8006 D  800a D  
Set 	42:		800a D  8006 D  
Set 	43:		800a D  8006 D  
Set 	44:		800a D  8006 D  
Set 	45:		800a D  8006 D  
Set 	46:		800a D  8006 D  
Set 	47:		8006 D  800a D  
Set 	48:		800a D  8006 D  
Set 	49:		8006 D  800a D  
Set 	50:		8006 D  800a D  
Set 	51:		8006 D  800a D  
Set 	52:		8006 D  800a D  
Set 	53:		800a D  8006 D  
Set 	54:		800a D  8006 D  
Set 	55:		800a D  8006 D  
Set 	56:		800a D  8006 D  
Set 	57:		8006 D  800a D  
Set 	58:		8006 D  800a D  
Set 	59:		8006 D  800a D  
Set 	60:		800a D  8006 D  
Set 	61:		800a D  8006 D  
Set 	62:		800a D  8006 D  
Set 	63:		800a D  8006 D  
Set 	64:		800a D  8006 D  
Set 	65:		8006 D  800a D  
Set 	66:		800a D  8006 D  
Set 	67:		8006 D  800a D  
Set 	68:		800a D  8006 D  
Set 	69:		800a D  8006 D  
Set 	70:		800a D  8006 D  
Set 	71:		8006 D  800a D  
Set 	72:		800a D  8006 D  
Set 	73:		8006 D  800a D  
Set 	74:		8006 D  800a D  
Set 	75:		800a D  8006 D  
Set 	76:		800a D  8006 D  
Set 	77:		800a D  8006 D  
Set 	78:		800a D  8006 D  
Set 	79:		8006 D  800a D  
Set 	80:		8006 D  800a D  
Set 	81:		8006 D  800a D  
Set 	82:		8006 D  800a D  
Set 	83:		800a D  8006 D  
Set 	84:		800a D  8006 D  
Set 	85:		800a D  8006 D  
Set 	86:		800a D  8006 D  
Set 	87:		800a D  8006 D  
Set 	88:		800a D  8006 D  
Set 	89:		8006 D  800a D  
Set 	90:		800a D  8006 D  
Set 	91:		800a D  8006 D  
Set 	92:		800a D  8006 D  
Set 	93:		800a D  8006 D  
Set 	94:		800a D  8006 D  
Set 	95:		800a D  8006 D  
Set 	96:		800a D  8006 D  
Set 	97:		800a D  8006 D  
Set 	98:		800a D  8006 D  
Set 	99:		800a D  8006 D  
Set 	100:		800a D  8006 D  
Set 	101:		800a D  8006 D  
Set 	102:		800a D  8006 D  
Set 	103:		8006 D  0    
Set 	104:		800a D  8006 D  
Set 	105:		800a D  8006 D  
Set 	106:		800a D  8006 D  
Set 	107:		800a D  8006 D  
Set 	108:		800a D  8006 D  
Set 	109:		800a D  8006 D  
Set 	110:		800a D  8006 D  
Set 	111:		800a D  8006 D  
Set 	112:		8006 D  800a D  
Set 	113:		8006 D  800a D  
Set 	114:		800a D  8006 D  
Set 	115:		800a D  8006 D  
Set 	116:		800a D  8006 D  
Set 	117:		8006 D  800a D  
Set 	118:		800a D  8006 D  
Set 	119:		800a D  8006 D  
Set 	120:		800a D  8006 D  
Set 	121:		800a D  8006 D  
Set 	122:		8006 D  800a D  
Set 	123:		800a D  8006 D  
Set 	124:		800a D  8006 D  
Set 	125:		800a D  8006 D  
Set 	126:		800a D  8006 D  
Set 	127:		800a D  8006 D  
Set 	128:		800a D  8006 D  
Set 	129:		8006 D  800a D  
Set 	130:		800a D  8006 D  
Set 	131:		8006 D  800a D  
Set 	132:		800a D  8006 D  
Set 	133:		800a D  8006 D  
Set 	134:		800a D  8006 D  
Set 	135:		800a D  8006 D  
Set 	136:		800a D  8006 D  
Set 	137:		800a D  8006 D  
Set 	138:		8006 D  800a D  
Set 	139:		800a D  8006 D  
Set 	140:		800a D  8006 D  
Set 	141:		800a D  8006 D  
Set 	142:		800a D  8006 D  
Set 	143:		800a D  8006 D  
Set 	144:		800a D  8006 D  
Set 	145:		800a D  8006 D  
Set 	146:		8006 D  8005    
Set 	147:		800a D  8006 D  
Set 	148:		8005    8006 D  
Set 	149:		8000    8006 D  
Set 	150:		800a D  8000    
Set 	151:		8005    8000    
Set 	152:		8005    8000    
Set 	153:		8000    800a D  
Set 	154:		8000    800a D  
Set 	155:		8000    800a D  
Set 	156:		8006 D  800a D  
Set 	157:		800a D  0    
Set 	158:		8007 D  800a D  
Set 	159:		800a D  0    
Set 	160:		800a D  8006    
Set 	161:		800a D  0    
Set 	162:		800a D  8006    
Set 	163:		800a D  8006    
Set 	164:		8006    800a D  
Set 	165:		800a D  8006    
Set 	166:		800a D  8006    
