===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		6fc    20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	1:		20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	2:		2002b D  211d7    20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	3:		2001b D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	4:		20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	5:		20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	6:		2002b D  20028 D  20019 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	7:		2002a D  2002b D  20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  
Set 	8:		2002a D  2002b D  20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  
Set 	9:		2002a D  20022 D  20018 D  2002b D  20027 D  20028 D  2001f D  2001a D  
Set 	10:		2002b D  20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	11:		2002a D  2002b D  20019 D  20028 D  2001f D  2001a D  20022 D  20018 D  
Set 	12:		20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	13:		2001a D  20027 D  20028 D  2001f D  20022 D  20018 D  2002a D  2002b D  
Set 	14:		2002b D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2001d D  
Set 	15:		2002b D  2001d D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	16:		2001d D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	17:		2001d D  2001c D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	18:		20018 D  2001c D  2002a D  2002b D  20024    2001f D  2001a D  20022 D  
Set 	19:		20018 D  2002a D  2002b D  2001c D  2001d D  2001f D  2001a D  20022 D  
Set 	20:		20018 D  2002a D  2001c    2002b D  20019 D  2001f D  2001a D  20022 D  
Set 	21:		2001c D  20024    2002a D  20028 D  2001f D  2001a D  20022 D  20018 D  
Set 	22:		2002a D  20024 D  20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  
