===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		37e    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	1:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	2:		108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	3:		37e    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	4:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	5:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	6:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	7:		e1    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	8:		e1    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	9:		e1    37e    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	10:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	11:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	12:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	13:		1000d D  10014 D  10011 D  1000c D  10015 D  0    0    0    
Set 	14:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	15:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	16:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	17:		10014 D  1000d D  10011 D  1000c D  10015 D  1000e D  0    0    
Set 	18:		1000e D  10014 D  1000d D  10011 D  1000c D  10015 D  10012    0    
Set 	19:		1084f    10014 D  1000d D  10011 D  1000c D  10015 D  1000e D  0    
Set 	20:		37e    1000e    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	21:		10012    10014 D  1000d D  10011 D  1000c D  1000e D  10015 D  0    
Set 	22:		10012 D  10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	23:		10012    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	24:		1084f    108ec    10012    10014 D  1000d D  10011 D  1000c D  10015 D  
Set 	25:		108ec    1084f    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	26:		10853 D  108ec    10012    10014 D  1000d D  10011 D  1000c D  10015 D  
Set 	27:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	28:		1ec0d    108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	29:		1ec0d D  10015 D  108ec    10012    10014 D  1000d D  10011 D  1000c D  
Set 	30:		1ec0d D  10012 D  1000e    10014 D  1000d D  10011 D  1000c D  10015 D  
Set 	31:		10015 D  108ec    1000e    10012 D  10014 D  1000d D  10011 D  1000c D  
Set 	32:		1ec0d    108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	33:		1ec0d    10015 D  108ec    10012    10014 D  1000d D  10011 D  1000c D  
Set 	34:		10015 D  37e    108ec    10012    10014 D  1000d D  10011 D  1000c D  
Set 	35:		1ec0d    108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	36:		10853 D  108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	37:		1ec0d D  10012    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	38:		37e    1ec0d D  10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	39:		37e    1ec0d D  10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	40:		1ec0d D  108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	41:		1ec0d    108ec    10014 D  1000d D  10011 D  1000c D  10015 D  0    
Set 	42:		10014 D  1000d D  10011 D  1000c D  10015 D  0    0    0    
Set 	43:		10853    10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	44:		10853 D  10014 D  1000d D  10011 D  1000c D  10015 D  0    0    
Set 	45:		1ec0d    10011 D  10014 D  1000d D  1000c D  10015 D  0    0    
Set 	46:		1ec0d    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	47:		1ec0d    37e    10014 D  1000d D  1000c D  10015 D  10011 D  0    
Set 	48:		10014 D  1000d D  1000c D  10015 D  10011 D  0    0    0    
Set 	49:		37e    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	50:		37e    10014 D  1000d D  1000c D  10015 D  10011 D  0    0    
Set 	51:		37e    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	52:		10853 D  37e    10013    10014 D  1000d D  1000c D  10015 D  0    
Set 	53:		10013    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	54:		10011 D  10013    10014 D  1000d D  1000c D  10015 D  0    0    
Set 	55:		10013    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	56:		10013    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	57:		37e    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	58:		37e    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	59:		37e    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	60:		10853 D  10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	61:		10014 D  1000d D  1000c D  10015 D  0    0    0    0    
Set 	62:		10014 D  1000d D  1000c D  10015 D  0    0    0    0    
Set 	63:		10014 D  1000d D  1000c D  10015 D  0    0    0    0    
Set 	64:		10014 D  1000d D  1000c D  10015 D  0    0    0    0    
Set 	65:		37e    10853    10013    10014 D  1000d D  1000c D  10015 D  0    
Set 	66:		1004e D  10853 D  108ec    10014 D  1000d D  1000c D  10015 D  0    
Set 	67:		108ec D  10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	68:		10013    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	69:		10853 D  10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	70:		1000f D  10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	71:		37e    1000f    10014 D  10013    1000d D  1000c D  10015 D  0    
Set 	72:		10853    10014 D  1000d D  1000c D  10015 D  0    0    0    
Set 	73:		1004e D  10853    10014 D  1000d D  1000c D  10015 D  0    0    
Set 	74:		1004e D  10853    10014 D  1000f D  1000d D  1000c D  10015 D  0    
Set 	75:		10853    10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	76:		10853    10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	77:		10853    10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	78:		10853    10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	79:		108ec D  10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	80:		108ec D  10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	81:		1ec0d    108ec D  10014 D  1000f D  1000d D  1000c D  10015 D  0    
Set 	82:		1ec0d    108ec D  10014 D  1000f D  1000d D  1000c D  10015 D  0    
Set 	83:		37e    1ec0d    108ec D  10014 D  1000f D  1000d D  1000c D  10015 D  
Set 	84:		10014 D  1000f D  1000d D  1000c D  10015 D  0    0    0    
Set 	85:		10014 D  1000f D  1000d D  1000c D  10015 D  0    0    0    
Set 	86:		10014 D  1000f D  1000d D  1000c D  10015 D  0    0    0    
Set 	87:		108d5    10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	88:		10014 D  1000f D  1000d D  1000c D  10015 D  0    0    0    
Set 	89:		1004e D  10014 D  1000f D  1000d D  1000c D  10015 D  0    0    
Set 	90:		10014 D  1000f D  1000d D  1000c D  10015 D  0    0    0    
