===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 32
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		7b035 D  df8    42355    4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  40033 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	1:		40139    42355    7b035 D  4004e D  4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  4003f D  40033 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	2:		423b0    423ae    7b035 D  42355    4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  40033 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	3:		df8    dfd    40139    7b035 D  42355    4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  40036 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	4:		7b035 D  4004e D  4001f    4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	5:		7b035 D  42355    4004e D  4001f    4004f D  40050 D  40005    40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	6:		42355    4001f    4004e D  4004f D  40050 D  40005    40032 D  40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	7:		42355    384    40002    4001f    4004e D  4004f D  40050 D  40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	8:		42355    40002    384    4004e D  4001f    4004f D  40050 D  40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	9:		384    df8    42355    4213a    40002    dfd    4004e D  4004f D  40050 D  40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	10:		7b035 D  42355 D  42359    40002    4001f    4004e D  4004f D  40050 D  40051 D  4003d D  4003e D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40056 D  0    0    0    0    0    0    0    0    0    0    0    0    
