===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 16384
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		40055 D  40056 D  40033 D  40054 D  
Set 	1:		40033 D  40055 D  40056 D  4003f D  
Set 	2:		40054 D  40055 D  40056 D  40033 D  
Set 	3:		40056 D  40036 D  40054 D  40055 D  
Set 	4:		40055 D  40056 D  4001f    40054 D  
Set 	5:		40054 D  40055 D  40056 D  40053 D  
Set 	6:		40054 D  40055 D  40056 D  40053 D  
Set 	7:		40054 D  40055 D  40056 D  40053 D  
Set 	8:		40054 D  40055 D  40056 D  40053 D  
Set 	9:		40055 D  40056 D  40053 D  40054 D  
Set 	10:		40053 D  40054 D  40055 D  40056 D  
Set 	11:		40056 D  40053 D  40054 D  40055 D  
Set 	12:		40054 D  40055 D  40056 D  4001f    
Set 	13:		40053 D  40054 D  40055 D  40056 D  
Set 	14:		4003a D  40055 D  40056 D  40035 D  
Set 	15:		4003f D  40054 D  40055 D  40056 D  
Set 	16:		40056 D  4003a D  40054 D  40055 D  
Set 	17:		4003a D  40038 D  40055 D  40056 D  
Set 	18:		40048    40038 D  40056 D  40029    
Set 	19:		40038 D  40054 D  40055 D  40056 D  
Set 	20:		4001f    40029    40056 D  4002d D  
Set 	21:		40054 D  40055 D  40001    40038 D  
Set 	22:		4001f    40001    40055 D  40051 D  
Set 	23:		40001    4001f    40051 D  40029    
Set 	24:		40001    40051 D  4001f    40029    
Set 	25:		4001f    40001    40055 D  40051 D  
Set 	26:		40055 D  40051 D  40001    40054 D  
Set 	27:		40051 D  40001    40054 D  40055 D  
Set 	28:		40031 D  40051 D  4002f    40055 D  
Set 	29:		40051 D  4003a D  40054 D  40055 D  
Set 	30:		40038    40054 D  40055 D  40051 D  
Set 	31:		40035 D  40043 D  40051 D  4003a D  
Set 	32:		4002f D  40031    40055 D  40051 D  
Set 	33:		40053 D  40054 D  40055 D  40051 D  
Set 	34:		40031    40054 D  40055 D  40051 D  
Set 	35:		40031    40055 D  40051 D  4002f D  
Set 	36:		40031    4002f D  40051 D  40054 D  
Set 	37:		40031    4001f    40036 D  4002f    
Set 	38:		40036 D  40055 D  40051 D  40031    
Set 	39:		4001f    4002f    40051 D  40036 D  
Set 	40:		40035    40036 D  40051 D  4001f    
Set 	41:		4001f    40051 D  40035    40036 D  
Set 	42:		40036 D  4001f    40035    40051 D  
Set 	43:		40027    40035    40055 D  40051 D  
Set 	44:		40031 D  40027    4003e    40035    
Set 	45:		40027    40051 D  40044 D  40036 D  
Set 	46:		40027    40055 D  40051 D  40036 D  
Set 	47:		40051 D  40044 D  40027    40055 D  
Set 	48:		40055 D  40051 D  40044 D  40035    
Set 	49:		4001f    40051 D  4002a D  40027    
Set 	50:		40051 D  40027    40044 D  40055 D  
Set 	51:		4003e D  40055 D  40051 D  40054 D  
Set 	52:		40051 D  4003e D  40054 D  40055 D  
Set 	53:		40051 D  40053 D  40054 D  40055 D  
Set 	54:		40051 D  40044 D  40043 D  40055 D  
Set 	55:		40055 D  40051 D  4002f D  40037 D  
Set 	56:		40051 D  4002f D  40054 D  40055 D  
Set 	57:		40055 D  40051 D  4002f D  40054 D  
Set 	58:		40035 D  40054 D  40055 D  40051 D  
Set 	59:		40051 D  40035 D  40054 D  40055 D  
Set 	60:		40055 D  40051 D  40054 D  40035    
Set 	61:		40051 D  40036 D  40035 D  40055 D  
Set 	62:		40055 D  40051 D  40054 D  40036 D  
Set 	63:		40054 D  40055 D  40051 D  40053 D  
Set 	64:		4003e D  40054 D  40055 D  40051 D  
Set 	65:		40036 D  40054 D  40055 D  40051 D  
Set 	66:		40054 D  40055 D  40051 D  40053 D  
Set 	67:		40051 D  40035 D  40037 D  40055 D  
Set 	68:		40051 D  40054 D  40055 D  40035 D  
Set 	69:		40054 D  40055 D  40051 D  40053 D  
Set 	70:		40051 D  40035 D  40055 D  4003c D  
Set 	71:		40055 D  40051 D  40035    40054 D  
Set 	72:		4003f D  40051 D  40055 D  7b033 D  
Set 	73:		40054 D  40055 D  40051 D  7b033 D  
Set 	74:		40055 D  40051 D  40042 D  4003f D  
Set 	75:		40051 D  40042 D  7b033 D  40055 D  
Set 	76:		40053 D  40054 D  40055 D  40051 D  
Set 	77:		40051 D  40053 D  40054 D  40055 D  
Set 	78:		4003f D  40054 D  40055 D  40051 D  
Set 	79:		4003f D  40055 D  40051 D  40054 D  
Set 	80:		7b033 D  40055 D  40051 D  4003f D  
Set 	81:		40055 D  40051 D  40054 D  4003f D  
Set 	82:		4003f D  40054 D  40055 D  40051 D  
Set 	83:		40037 D  40051 D  40055 D  4003f D  
Set 	84:		4003f D  40055 D  40051 D  40054 D  
Set 	85:		40051 D  40035 D  40054 D  40055 D  
Set 	86:		40055 D  40035 D  40051 D  40054 D  
Set 	87:		40054 D  40055 D  40051 D  40053 D  
Set 	88:		40053 D  40054 D  40055 D  40051 D  
Set 	89:		4003f D  40051 D  40055 D  40036    
Set 	90:		40051 D  40053 D  40054 D  40055 D  
Set 	91:		40051 D  40036 D  40055 D  40031 D  
Set 	92:		40051 D  40055 D  40035 D  40031 D  
Set 	93:		40037 D  4003e D  40031 D  40051 D  
Set 	94:		40051 D  40035 D  4003f D  40031 D  
Set 	95:		40055 D  40035 D  40051 D  40031 D  
Set 	96:		40053 D  40054 D  40055 D  40051 D  
Set 	97:		40055 D  40051 D  40035 D  40033 D  
Set 	98:		40053 D  40054 D  40055 D  40051 D  
Set 	99:		40053 D  40054 D  40055 D  40051 D  
Set 	100:		40053 D  40054 D  40055 D  40051 D  
Set 	101:		40051 D  40053 D  40054 D  40055 D  
Set 	102:		4003f D  40053 D  40054 D  40055 D  
Set 	103:		40055 D  4003e D  40053 D  40054 D  
Set 	104:		40055 D  40053 D  4003f D  40054 D  
Set 	105:		4003f D  40054 D  40033 D  40055 D  
Set 	106:		40035 D  40055 D  40053 D  40054 D  
Set 	107:		40053 D  40054 D  40055 D  40030 D  
Set 	108:		4003f D  40055 D  40053 D  40054 D  
Set 	109:		40055 D  4003f D  40053 D  40054 D  
Set 	110:		40036 D  40055 D  40053 D  40054 D  
Set 	111:		40053 D  40054 D  40036 D  40055 D  
Set 	112:		40053 D  40054 D  40055 D  40039    
Set 	113:		40053 D  40036 D  40054 D  40055 D  
Set 	114:		40053 D  40054 D  40055 D  4003e D  
Set 	115:		40054 D  40055 D  40052 D  40053 D  
Set 	116:		40031 D  40055 D  40047    40054 D  
Set 	117:		40055 D  40031 D  40047    40054 D  
Set 	118:		40055 D  40047    40054 D  4003f D  
Set 	119:		40054 D  40055 D  40035 D  40047    
Set 	120:		40055 D  4003e D  40047    40033 D  
Set 	121:		4001e    40054 D  40047    40055 D  
Set 	122:		40047    4001c    40055 D  40031 D  
Set 	123:		4001c    40055 D  40047    40054 D  
Set 	124:		40055 D  40031 D  40047    4001c    
Set 	125:		4001e    4001c    40055 D  40035 D  
Set 	126:		4001c    40055 D  40034 D  4001e    
Set 	127:		40032 D  40055 D  4001c    40034 D  
===== Simulation results (raw) =====
a. number of L1 reads:          63640
b. number of L1 read misses:    836
c. number of L1 writes:         36360
d. number of L1 write misses:   2141
e. L1 miss rate:                0.029770
f. number of L1 writebacks:     1852
g. number of L2 reads:          0
h. number of L2 read misses:    0
i. number of L2 writes:         0
j. number of L2 write misses:   0
k. L2 miss rate:                0
l. number of L2 writebacks:     0
m. total memory traffic:        4829
