===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		20022 D  20018 D  2002a D  2002b D  
Set 	1:		20022 D  20018 D  2002a D  2002b D  
Set 	2:		2002b D  20022 D  20018 D  2002a D  
Set 	3:		2001b D  20018 D  2002a D  2002b D  
Set 	4:		20022 D  20018 D  2002a D  2002b D  
Set 	5:		20022 D  20018 D  2002a D  2002b D  
Set 	6:		2002b D  20022 D  20018 D  2002a D  
Set 	7:		2002a D  2002b D  20022 D  20018 D  
Set 	8:		2002a D  2002b D  20022 D  20018 D  
Set 	9:		20022 D  20018 D  2002a D  2002b D  
Set 	10:		2002b D  20022 D  20018 D  2002a D  
Set 	11:		2002a D  2002b D  20022 D  20018 D  
Set 	12:		20022 D  20018 D  2002a D  2002b D  
Set 	13:		20022 D  20018 D  2002a D  2002b D  
Set 	14:		2002b D  20018 D  2002a D  2001d D  
Set 	15:		2002b D  20022 D  20018 D  2002a D  
Set 	16:		2001d D  20018 D  2002a D  2002b D  
Set 	17:		2001d D  2001c D  2002a D  2002b D  
Set 	18:		20024    2002a D  2001c D  2002b D  
Set 	19:		20018 D  2002a D  2002b D  2001c D  
Set 	20:		20018 D  2002a D  2002b D  20022 D  
Set 	21:		2001c D  2002a D  20022 D  20018 D  
Set 	22:		2002a D  2001a D  20022 D  20018 D  
Set 	23:		2001a D  20022 D  20018 D  2002a D  
Set 	24:		20022 D  20018 D  2002a D  2001a D  
Set 	25:		20018 D  2002a D  2001a D  20022 D  
Set 	26:		2001a D  20022 D  20018 D  2002a D  
Set 	27:		2001a D  20022 D  20018 D  2002a D  
Set 	28:		20018 D  2002a D  2001a D  20022 D  
Set 	29:		2002a D  2001d D  20022 D  20018 D  
Set 	30:		20018 D  2002a D  2001c    20022 D  
Set 	31:		2001d D  20022 D  20018 D  2002a D  
Set 	32:		20022 D  20018 D  2002a D  2001a D  
Set 	33:		2002a D  2001a D  20022 D  20018 D  
Set 	34:		2001a D  20022 D  20018 D  2002a D  
Set 	35:		20022 D  20018 D  2002a D  2001a D  
Set 	36:		20018 D  2002a D  2001a D  20022 D  
Set 	37:		2001b D  20022 D  20018 D  2002a D  
Set 	38:		20022 D  20018 D  2002a D  2001b D  
Set 	39:		2002a D  2001b D  20022 D  20018 D  
Set 	40:		20022 D  20018 D  2002a D  2001b D  
Set 	41:		20018 D  2002a D  2001b D  20022 D  
Set 	42:		20022 D  20018 D  2002a D  2001b D  
Set 	43:		2001a D  20022 D  20018 D  2002a D  
Set 	44:		2001f D  2002a D  20022 D  20018 D  
Set 	45:		2002a D  20022 D  20018 D  2001b D  
Set 	46:		2001a D  20018 D  2002a D  2001b D  
Set 	47:		20018 D  2002a D  20022 D  2001a D  
Set 	48:		2002a D  2001f D  20022 D  20018 D  
Set 	49:		2001f D  20015 D  20018 D  2002a D  
Set 	50:		2001f D  20022 D  20018 D  2002a D  
