===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		1000c D  10015 D  1000d D  10011 D  
Set 	1:		10015 D  1000d D  10011 D  1000c D  
Set 	2:		1000c D  10015 D  1000d D  10011 D  
Set 	3:		1000c D  10015 D  1000d D  10011 D  
Set 	4:		10015 D  1000d D  10011 D  1000c D  
Set 	5:		10015 D  1000d D  10011 D  1000c D  
Set 	6:		10015 D  1000d D  10011 D  1000c D  
Set 	7:		1000c D  10015 D  1000d D  10011 D  
Set 	8:		1000c D  10015 D  1000d D  10011 D  
Set 	9:		10011 D  1000c D  10015 D  1000d D  
Set 	10:		10015 D  1000d D  10011 D  1000c D  
Set 	11:		10015 D  1000d D  10011 D  1000c D  
Set 	12:		10015 D  1000d D  10011 D  1000c D  
Set 	13:		10015 D  10014 D  10011 D  1000c D  
Set 	14:		10015 D  1000d D  10011 D  1000c D  
Set 	15:		10015 D  1000d D  10011 D  1000c D  
Set 	16:		10015 D  1000d D  10011 D  1000c D  
Set 	17:		10015 D  1000e D  10011 D  1000c D  
Set 	18:		1000c D  10015 D  1000e D  10012    
Set 	19:		1000c D  10015 D  1000e D  10011 D  
Set 	20:		10011 D  1000c D  10015 D  1000d D  
Set 	21:		1000c D  1000e D  10015 D  10011 D  
Set 	22:		1000c D  10015 D  1000d D  10011 D  
Set 	23:		1000c D  10015 D  1000d D  10011 D  
Set 	24:		1000d D  10011 D  1000c D  10015 D  
Set 	25:		10011 D  1000c D  10015 D  1000d D  
Set 	26:		1000d D  10011 D  1000c D  10015 D  
Set 	27:		10015 D  1000d D  10011 D  1000c D  
Set 	28:		10011 D  1000c D  10015 D  1000d D  
Set 	29:		10015 D  1000d D  10011 D  1000c D  
Set 	30:		1000e    10011 D  1000c D  10015 D  
Set 	31:		10015 D  1000d D  10011 D  1000c D  
Set 	32:		10011 D  1000c D  10015 D  1000d D  
Set 	33:		10015 D  1000d D  10011 D  1000c D  
