===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		1bf    800a D  8006 D  0    
Set 	1:		800a D  8006 D  0    0    
Set 	2:		8476    800a D  8006 D  0    
Set 	3:		1bf    800a D  8006 D  0    
Set 	4:		800a D  8006 D  0    0    
Set 	5:		800a D  8006 D  0    0    
Set 	6:		800a D  8006 D  0    0    
Set 	7:		800a D  8006 D  0    0    
Set 	8:		800a D  8006 D  0    0    
Set 	9:		1bf    800a D  8006 D  0    
Set 	10:		800a D  8006 D  0    0    
Set 	11:		800a D  8006 D  0    0    
Set 	12:		800a D  8006 D  0    0    
Set 	13:		800a D  8006 D  0    0    
Set 	14:		800a D  8006 D  0    0    
Set 	15:		800a D  8006 D  0    0    
Set 	16:		800a D  8006 D  0    0    
Set 	17:		800a D  8006 D  8007 D  0    
Set 	18:		8007 D  800a D  8006 D  8009    
Set 	19:		800a D  8006 D  8007 D  0    
Set 	20:		1bf    8007    800a D  8006 D  
Set 	21:		8009    800a D  8006 D  8007 D  
Set 	22:		8009 D  800a D  8006 D  0    
Set 	23:		8009    800a D  8006 D  0    
Set 	24:		8476    8009    800a D  8006 D  
Set 	25:		8476    800a D  8006 D  0    
Set 	26:		8476    8009    800a D  8006 D  
Set 	27:		800a D  8006 D  0    0    
Set 	28:		8476    800a D  8006 D  0    
Set 	29:		8006 D  8476    8009    800a D  
Set 	30:		8009 D  8007    800a D  8006 D  
Set 	31:		8006 D  8007    8009 D  800a D  
Set 	32:		8476    800a D  8006 D  0    
Set 	33:		8006 D  8476    8009    800a D  
Set 	34:		8006 D  8476    8009    800a D  
Set 	35:		8476    800a D  8006 D  0    
Set 	36:		8476    800a D  8006 D  0    
Set 	37:		8009    800a D  8006 D  0    
Set 	38:		1bf    800a D  8006 D  0    
Set 	39:		1bf    800a D  8006 D  0    
Set 	40:		8476    800a D  8006 D  0    
Set 	41:		8476    800a D  8006 D  0    
Set 	42:		800a D  8006 D  0    0    
Set 	43:		800a D  8006 D  0    0    
Set 	44:		800a D  8006 D  0    0    
Set 	45:		800a D  8006 D  0    0    
Set 	46:		800a D  8006 D  0    0    
Set 	47:		1bf    800a D  8006 D  0    
Set 	48:		800a D  8006 D  0    0    
Set 	49:		1bf    800a D  8006 D  0    
Set 	50:		1bf    800a D  8006 D  0    
Set 	51:		1bf    800a D  8006 D  0    
Set 	52:		1bf    800a D  8006 D  0    
Set 	53:		800a D  8006 D  0    0    
Set 	54:		800a D  8006 D  0    0    
Set 	55:		800a D  8006 D  0    0    
Set 	56:		800a D  8006 D  0    0    
Set 	57:		1bf    800a D  8006 D  0    
Set 	58:		1bf    800a D  8006 D  0    
Set 	59:		1bf    800a D  8006 D  0    
Set 	60:		800a D  8006 D  0    0    
Set 	61:		800a D  8006 D  0    0    
Set 	62:		800a D  8006 D  0    0    
Set 	63:		800a D  8006 D  0    0    
Set 	64:		800a D  8006 D  0    0    
Set 	65:		1bf    800a D  8006 D  0    
Set 	66:		8027 D  8476    800a D  8006 D  
Set 	67:		8476 D  800a D  8006 D  0    
Set 	68:		800a D  8006 D  0    0    
Set 	69:		800a D  8006 D  0    0    
Set 	70:		800a D  8006 D  0    0    
Set 	71:		1bf    800a D  8006 D  0    
Set 	72:		800a D  8006 D  0    0    
Set 	73:		8027 D  800a D  8006 D  0    
Set 	74:		8027 D  800a D  8006 D  0    
Set 	75:		800a D  8006 D  0    0    
Set 	76:		800a D  8006 D  0    0    
Set 	77:		800a D  8006 D  0    0    
Set 	78:		800a D  8006 D  0    0    
Set 	79:		8476 D  800a D  8006 D  0    
Set 	80:		8476 D  800a D  8006 D  0    
Set 	81:		8476 D  800a D  8006 D  0    
Set 	82:		8476 D  800a D  8006 D  0    
Set 	83:		1bf    8476 D  800a D  8006 D  
Set 	84:		800a D  8006 D  0    0    
Set 	85:		800a D  8006 D  0    0    
Set 	86:		800a D  8006 D  0    0    
Set 	87:		800a D  8006 D  0    0    
Set 	88:		800a D  8006 D  0    0    
Set 	89:		8027 D  800a D  8006 D  0    
Set 	90:		800a D  8006 D  0    0    
Set 	91:		800a D  8006 D  0    0    
Set 	92:		800a D  8006 D  0    0    
Set 	93:		800a D  8006 D  0    0    
Set 	94:		800a D  8006 D  0    0    
Set 	95:		800a D  8006 D  0    0    
Set 	96:		800a D  8006 D  0    0    
Set 	97:		800a D  8006 D  0    0    
Set 	98:		800a D  8006 D  0    0    
Set 	99:		800a D  8006 D  0    0    
Set 	100:		800a D  8006 D  0    0    
Set 	101:		800a D  8006 D  0    0    
Set 	102:		800a D  8006 D  0    0    
Set 	103:		8006 D  0    0    0    
Set 	104:		800a D  8006 D  0    0    
