===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		4005 D  4003 D  0    0    
Set 	1:		4005 D  4003 D  0    0    
Set 	2:		423b    4005 D  4003 D  0    
Set 	3:		4005 D  4003 D  0    0    
Set 	4:		4005 D  4003 D  0    0    
Set 	5:		4005 D  4003 D  0    0    
Set 	6:		4005 D  4003 D  0    0    
Set 	7:		4005 D  4003 D  0    0    
Set 	8:		4005 D  4003 D  0    0    
Set 	9:		4005 D  4003 D  0    0    
Set 	10:		4005 D  4003 D  0    0    
Set 	11:		4005 D  4003 D  0    0    
Set 	12:		4005 D  4003 D  0    0    
Set 	13:		4005 D  4003 D  0    0    
Set 	14:		4005 D  4003 D  0    0    
Set 	15:		4005 D  4003 D  0    0    
Set 	16:		4005 D  4003 D  0    0    
Set 	17:		4005 D  4003 D  0    0    
Set 	18:		4005 D  4003 D  0    0    
Set 	19:		4005 D  4003 D  0    0    
Set 	20:		4005 D  4003 D  0    0    
Set 	21:		4005 D  4003 D  0    0    
Set 	22:		4005 D  4003 D  0    0    
Set 	23:		4005 D  4003 D  0    0    
Set 	24:		423b    4005 D  4003 D  0    
Set 	25:		423b    4005 D  4003 D  0    
Set 	26:		423b    4005 D  4003 D  0    
Set 	27:		4005 D  4003 D  0    0    
Set 	28:		423b    4005 D  4003 D  0    
Set 	29:		423b    4005 D  4003 D  0    
Set 	30:		4005 D  4003 D  0    0    
Set 	31:		423b    4005 D  4003 D  0    
Set 	32:		423b    4005 D  4003 D  0    
Set 	33:		423b    4005 D  4003 D  0    
Set 	34:		423b    4005 D  4003 D  0    
Set 	35:		423b    4005 D  4003 D  0    
Set 	36:		423b    4005 D  4003 D  0    
Set 	37:		4005 D  4003 D  0    0    
Set 	38:		4005 D  4003 D  0    0    
Set 	39:		4005 D  4003 D  0    0    
Set 	40:		423b    4005 D  4003 D  0    
Set 	41:		423b    4005 D  4003 D  0    
Set 	42:		4005 D  4003 D  0    0    
Set 	43:		4005 D  4003 D  0    0    
Set 	44:		4005 D  4003 D  0    0    
Set 	45:		4005 D  4003 D  0    0    
Set 	46:		4005 D  4003 D  0    0    
Set 	47:		4005 D  4003 D  0    0    
Set 	48:		4005 D  4003 D  0    0    
Set 	49:		4005 D  4003 D  0    0    
Set 	50:		4005 D  4003 D  0    0    
Set 	51:		4005 D  4003 D  0    0    
Set 	52:		4005 D  4003 D  0    0    
Set 	53:		4005 D  4003 D  0    0    
Set 	54:		4005 D  4003 D  0    0    
Set 	55:		4005 D  4003 D  0    0    
Set 	56:		4005 D  4003 D  0    0    
Set 	57:		4005 D  4003 D  0    0    
Set 	58:		4005 D  4003 D  0    0    
Set 	59:		4005 D  4003 D  0    0    
Set 	60:		4005 D  4003 D  0    0    
Set 	61:		4005 D  4003 D  0    0    
Set 	62:		4005 D  4003 D  0    0    
